Song_correct;Artist_correct;Song_concat;YT_link
chodzi po glowie;krystyna pronko;chodzi po glowie krystyna pronko;https://www.youtube.com/watch?v=OIqX2pyE_0o
deszcz w cisnej ;krystyna pronko;deszcz w cisnej  krystyna pronko;https://www.youtube.com/watch?v=476QyWZHqPA
jestes lekiem na cale zlo;krystyna pronko;jestes lekiem na cale zlo krystyna pronko;https://www.youtube.com/watch?v=HeyX1H3HTVQ
male tesknoty;krystyna pronko;male tesknoty krystyna pronko;https://www.youtube.com/watch?v=oHbGP01Xnws
modlitwa o milosc prawdziwa ;krystyna pronko;modlitwa o milosc prawdziwa  krystyna pronko;https://www.youtube.com/watch?v=U3JBH6VXwQU
niech moje serce kolysze ciebie do snu ;krystyna pronko;niech moje serce kolysze ciebie do snu  krystyna pronko;https://www.youtube.com/watch?v=K_QPk5YCDyY
papierowe ptaki;krystyna pronko;papierowe ptaki krystyna pronko;https://www.youtube.com/watch?v=eQeSQeWYBf0
poranne lzy;krystyna pronko;poranne lzy krystyna pronko;https://www.youtube.com/watch?v=m2Db-Gplv5s
psalm stojacych w kolejce;krystyna pronko;psalm stojacych w kolejce krystyna pronko;https://www.youtube.com/watch?v=aU-3t8Wav7U
tam gdzie lekki wieje wiatr;krystyna pronko i halina frackowiak;tam gdzie lekki wieje wiatr krystyna pronko i halina frackowiak;https://www.youtube.com/watch?v=MZZFqDuA_OY
on nie kochal nas;krystyna pronko i majka jezowska;on nie kochal nas krystyna pronko i majka jezowska;https://www.youtube.com/watch?v=lngm__36vmU
goralski rap;krywan;goralski rap krywan;https://www.youtube.com/watch?v=mzvo0n5R6b0
szalala szalala;krywan;szalala szalala krywan;https://www.youtube.com/watch?v=_Ck-nkwWpbE
zakazany owoc;krzysztof antkowiak;zakazany owoc krzysztof antkowiak;https://www.youtube.com/watch?v=BPsOidDNIl0
easy rider;krzysztof daukszewicz;easy rider krzysztof daukszewicz;https://www.youtube.com/watch?v=8Fhrcea4zNQ
procz ciebie nic;krzysztof kiljanski;procz ciebie nic krzysztof kiljanski;https://www.youtube.com/watch?v=xEGrNHGXPdY
podejrzani zakochani;krzysztof kiljanski i halina mlynkova;podejrzani zakochani krzysztof kiljanski i halina mlynkova;https://www.youtube.com/watch?v=8t-ZptAzAAk
procz ciebie nic;krzysztof kiljanski i kayah;procz ciebie nic krzysztof kiljanski i kayah;https://www.youtube.com/watch?v=xEGrNHGXPdY
10 w skali beauforta;krzysztof klenczon;10 w skali beauforta krzysztof klenczon;https://www.youtube.com/watch?v=oB45Tl9tDuw
gdy kiedys znow zawolam cie;krzysztof klenczon;gdy kiedys znow zawolam cie krzysztof klenczon;https://www.youtube.com/watch?v=BWhvvjXLPUc
natalie - piekniejszy swiat;krzysztof klenczon;natalie - piekniejszy swiat krzysztof klenczon;https://www.youtube.com/watch?v=jIpf8yl0aV0
port;krzysztof klenczon;port krzysztof klenczon;https://www.youtube.com/watch?v=Kewe1w3Km9Q
powiedz stary gdzies ty byl;krzysztof klenczon;powiedz stary gdzies ty byl krzysztof klenczon;https://www.youtube.com/watch?v=0arXk03FPdQ
rok z kaprysna dziewczyna;krzysztof klenczon;rok z kaprysna dziewczyna krzysztof klenczon;https://www.youtube.com/watch?v=VN8DmZZMPmI
wrocmy na jeziora;krzysztof klenczon;wrocmy na jeziora krzysztof klenczon;https://www.youtube.com/watch?v=enXdcZt_o-c
nie przejdziemy do historii;krzysztof klenczon i trzy korony;nie przejdziemy do historii krzysztof klenczon i trzy korony;https://www.youtube.com/watch?v=Vmn_oyN9VT0
port;krzysztof klenczon i trzy korony;port krzysztof klenczon i trzy korony;https://www.youtube.com/watch?v=Kewe1w3Km9Q
kolysanka;krzysztof komeda;kolysanka krzysztof komeda;https://www.youtube.com/watch?v=Oyixy0G7YMA
rosemary's baby;krzysztof komeda;rosemary's baby krzysztof komeda;https://www.youtube.com/watch?v=7wRNX94fU94
bo jestes ty;krzysztof krawczyk;bo jestes ty krzysztof krawczyk;https://www.youtube.com/watch?v=KOY_05KwJYk
byle bylo tak;krzysztof krawczyk;byle bylo tak krzysztof krawczyk;https://www.youtube.com/watch?v=mkZgHbySojM
chcialem byc;krzysztof krawczyk;chcialem byc krzysztof krawczyk;https://www.youtube.com/watch?v=3z-jNRAwSHk
gdy nam spiewal elvis presley;krzysztof krawczyk;gdy nam spiewal elvis presley krzysztof krawczyk;https://www.youtube.com/watch?v=MFmxxh1mMeQ
gdybys byla moja;krzysztof krawczyk;gdybys byla moja krzysztof krawczyk;https://www.youtube.com/watch?v=wh8KmIVGTeM
jak minal dzien;krzysztof krawczyk;jak minal dzien krzysztof krawczyk;https://www.youtube.com/watch?v=cs2NI52an-I
nigdy nie jest za pozno;krzysztof krawczyk;nigdy nie jest za pozno krzysztof krawczyk;https://www.youtube.com/watch?v=oRYyLzVFU0A
ostatni raz zatanczysz ze mna;krzysztof krawczyk;ostatni raz zatanczysz ze mna krzysztof krawczyk;https://www.youtube.com/watch?v=Z2TDUnpA2Kk
pamietam ciebie z tamtych lat;krzysztof krawczyk;pamietam ciebie z tamtych lat krzysztof krawczyk;https://www.youtube.com/watch?v=KVLLSgf_GrQ
parostatek;krzysztof krawczyk;parostatek krzysztof krawczyk;https://www.youtube.com/watch?v=f8gaMlsP-xs
rysunek na szkle;krzysztof krawczyk;rysunek na szkle krzysztof krawczyk;https://www.youtube.com/watch?v=sAonHL4DIKc
tancz mnie po milosci kres;krzysztof krawczyk;tancz mnie po milosci kres krzysztof krawczyk;https://www.youtube.com/watch?v=A8pva5o32vo
to co dal nam swiat;krzysztof krawczyk;to co dal nam swiat krzysztof krawczyk;https://www.youtube.com/watch?v=Z3lx8UPv2_k
to wszystko sprawil grzech;krzysztof krawczyk;to wszystko sprawil grzech krzysztof krawczyk;https://www.youtube.com/watch?v=S2hU4mHR27A
tylko ty tylko ja;krzysztof krawczyk;tylko ty tylko ja krzysztof krawczyk;https://www.youtube.com/watch?v=kx2BDsMbhl4
warto zyc;krzysztof krawczyk;warto zyc krzysztof krawczyk;https://www.youtube.com/watch?v=q3IqjnK1qd0
wesolych swiat z gwiazdkowych kart;krzysztof krawczyk;wesolych swiat z gwiazdkowych kart krzysztof krawczyk;https://www.youtube.com/watch?v=g6vkNvcptcQ
za toba pojde jak na bal;krzysztof krawczyk;za toba pojde jak na bal krzysztof krawczyk;https://www.youtube.com/watch?v=97mN7Wbr8ek
z kobietami to roznie bywalo;krzysztof krawczyk i daniel olbrychski;z kobietami to roznie bywalo krzysztof krawczyk i daniel olbrychski;https://www.youtube.com/watch?v=_l-QykdGj3c
trudno tak;krzysztof krawczyk i edyta bartosiewicz;trudno tak krzysztof krawczyk i edyta bartosiewicz;https://www.youtube.com/watch?v=kpUWMl0gLEQ
lekarze dusz;krzysztof krawczyk i muniek staszczyk;lekarze dusz krzysztof krawczyk i muniek staszczyk;https://www.youtube.com/watch?v=1lOvjyc-y68
caluj mnie;kukiz i piersi;caluj mnie kukiz i piersi;https://www.youtube.com/watch?v=bfPZn2FUuG0
baranek;kult;baranek kult;https://www.youtube.com/watch?v=DqBuIaa2-_s
do ani;kult;do ani kult;https://www.youtube.com/watch?v=VNAmqtRmp28
gdy nie ma dzieci;kult;gdy nie ma dzieci kult;https://www.youtube.com/watch?v=I8NcELiIMHg
this girl;kungs vs cookin on 3 burners;this girl kungs vs cookin on 3 burners;https://www.youtube.com/watch?v=2Y6Nne8RvaA
can't get you out of my head;kylie minogue;can't get you out of my head kylie minogue;https://www.youtube.com/watch?v=c18441Eh_WE
got to be certain;kylie minogue;got to be certain kylie minogue;https://www.youtube.com/watch?v=5cYQfqwjMVY
i should be so lucky;kylie minogue;i should be so lucky kylie minogue;https://www.youtube.com/watch?v=3_TvpBwSZDM
the locomotion;kylie minogue;the locomotion kylie minogue;https://www.youtube.com/watch?v=POWsFzSFLCE
especially for you;kylie minogue & jason donovan;especially for you kylie minogue & jason donovan;https://www.youtube.com/watch?v=yalM-2ih7RU
where the wild roses grow;kylie minogue & nick cave;where the wild roses grow kylie minogue & nick cave;https://www.youtube.com/watch?v=lDpnjE1LUvE
lost on you;l.p. laura pergolizzi;lost on you l.p. laura pergolizzi;https://www.youtube.com/watch?v=hn3wJ1_1Zsg
super para ;L-4;super para  L-4;https://www.youtube.com/watch?v=jZYN-aF9ALI
be my lover;la bouche;be my lover la bouche;https://www.youtube.com/watch?v=_Ka01Y_pYgM
taka taka;la bourita;taka taka la bourita;https://www.youtube.com/watch?v=Yh9oHXd9x_E
libiamo ne' lieti calici;la traviata;libiamo ne' lieti calici la traviata;https://www.youtube.com/watch?v=afhAqMeeQJk
beneath your beautiful;labrinth & emeli sande;beneath your beautiful labrinth & emeli sande;https://www.youtube.com/watch?v=bqIxCtEveG8
alejandro;lady gaga;alejandro lady gaga;https://www.youtube.com/watch?v=niqrrmev4mA
bad romance;lady gaga;bad romance lady gaga;https://www.youtube.com/watch?v=qrO4YZeyl0I
born this way;lady gaga;born this way lady gaga;https://www.youtube.com/watch?v=wV1FrqwZyKw
just dance;lady gaga;just dance lady gaga;https://www.youtube.com/watch?v=2Abk1jAONjw
love game ;lady gaga;love game  lady gaga;https://www.youtube.com/watch?v=1mB0tP1I-14
lovegame;lady gaga;lovegame lady gaga;https://www.youtube.com/watch?v=1mB0tP1I-14
million reasons;lady gaga;million reasons lady gaga;https://www.youtube.com/watch?v=en2D_5TzXCA
paparazzi;lady gaga;paparazzi lady gaga;https://www.youtube.com/watch?v=d2smz_1L2_0
perfect illusion;lady gaga;perfect illusion lady gaga;https://www.youtube.com/watch?v=Xn599R0ZBwg
poker face;lady gaga;poker face lady gaga;https://www.youtube.com/watch?v=bESGLojNYSo
fabryka malp;lady pank;fabryka malp lady pank;https://www.youtube.com/watch?v=v8LSz4Zbsdw
kryzysowa narzeczona;lady pank;kryzysowa narzeczona lady pank;https://www.youtube.com/watch?v=SPnEpzUy2V4
mniej niz zero;lady pank;mniej niz zero lady pank;https://www.youtube.com/watch?v=JFHanoST-vI
na co komu dzis;lady pank;na co komu dzis lady pank;https://www.youtube.com/watch?v=WDZDHMsaoEw
sloncem opetani;lady pank;sloncem opetani lady pank;https://www.youtube.com/watch?v=iPUafG4au3U
stacja warszawa;lady pank;stacja warszawa lady pank;https://www.youtube.com/watch?v=4DZGoeCJB_Y
sztuka latania;lady pank;sztuka latania lady pank;https://www.youtube.com/watch?v=6Vvj_JQoMgA
tacy sami;lady pank;tacy sami lady pank;https://www.youtube.com/watch?v=pyewz3w3pnA
tancz glupia tancz;lady pank;tancz glupia tancz lady pank;https://www.youtube.com/watch?v=K7Q2ABQVJcA
vademecum skauta;lady pank;vademecum skauta lady pank;https://www.youtube.com/watch?v=2BCPfRqE-v8
wciaz bardziej obcy;lady pank;wciaz bardziej obcy lady pank;https://www.youtube.com/watch?v=PwKs5uH451Y
zamki na piasku;lady pank;zamki na piasku lady pank;https://www.youtube.com/watch?v=lGZ1mdkF3Bo
znowu pada deszcz;lady pank;znowu pada deszcz lady pank;https://www.youtube.com/watch?v=qyoFl1ux2z8
zostawcie titanica;lady pank;zostawcie titanica lady pank;https://www.youtube.com/watch?v=FhL0hCGgMj4
sunshine reggae;laid back;sunshine reggae laid back;https://www.youtube.com/watch?v=bNowU63PF5E
video games;lana del rey;video games lana del rey;https://www.youtube.com/watch?v=cE6wxDqdOV0
ostatni most;lanberry;ostatni most lanberry;https://www.youtube.com/watch?v=cMTPivcI72A
zagadka;lanberry;zagadka lanberry;https://www.youtube.com/watch?v=5UDI1tvjrtg
adagio;lara fabian;adagio lara fabian;https://www.youtube.com/watch?v=NAWQxIq-9-Q
the ketchup son (asereje);las ketchup;the ketchup son (asereje) las ketchup;https://www.youtube.com/watch?v=V0PisGe66mY
it's not goodbye ;laura pausini;it's not goodbye  laura pausini;https://www.youtube.com/watch?v=ccFAdmLv9dg
juliet;lawson;juliet lawson;https://www.youtube.com/watch?v=1V18P7JkAuA
rower;lech janerka;rower lech janerka;https://www.youtube.com/watch?v=0lYUrZdHx10
black dog ;led zeppelin;black dog  led zeppelin;https://www.youtube.com/watch?v=yBuub4Xe1mw
stairway to heaven ;led zeppelin;stairway to heaven  led zeppelin;https://www.youtube.com/watch?v=QkF3oxziUI4
whole lotta love;led zeppelin;whole lotta love led zeppelin;https://www.youtube.com/watch?v=HQmmM_qwG4k
if there's any justice;lemar;if there's any justice lemar;https://www.youtube.com/watch?v=OrXB31Znxpk
bede z toba;lemon;bede z toba lemon;https://www.youtube.com/watch?v=3cRD62OrbvM
jutro;lemon;jutro lemon;https://www.youtube.com/watch?v=M7Sfgc73-sQ
napraw;lemon;napraw lemon;https://www.youtube.com/watch?v=9GQqF8Q7wQY
napraw mnie;lemon;napraw mnie lemon;https://www.youtube.com/watch?v=9GQqF8Q7wQY
scarlett;lemon;scarlett lemon;https://www.youtube.com/watch?v=8GE2N8Ye5Tw
sitting down here;lene marlin;sitting down here lene marlin;https://www.youtube.com/watch?v=ClSVzlObxSc
everything at once;lenka;everything at once lenka;https://www.youtube.com/watch?v=eE9tV1WGTgE
roll with the punches;lenka;roll with the punches lenka;https://www.youtube.com/watch?v=XZaE4TY09C8
the show;lenka;the show lenka;https://www.youtube.com/watch?v=elsh3J5lJ6g
are you gonna go my way;lenny kravitz;are you gonna go my way lenny kravitz;https://www.youtube.com/watch?v=8LhCd1W2V0Q
when i need you;leo sayer;when i need you leo sayer;https://www.youtube.com/watch?v=CxiH46q4_ak
bleeding love;leona lewis;bleeding love leona lewis;https://www.youtube.com/watch?v=Vzo-EL_62fQ
i see you ;leona lewis;i see you  leona lewis;https://www.youtube.com/watch?v=3YDz-ftqr1g
dance me to the end of love;leonard cohen;dance me to the end of love leonard cohen;https://www.youtube.com/watch?v=NGorjBVag0I
hallelujah;leonard cohen;hallelujah leonard cohen;https://www.youtube.com/watch?v=YrLk4vdY28Q
i'm your man;leonard cohen;i'm your man leonard cohen;https://www.youtube.com/watch?v=yOnXe8ttmjY
my spirit flies to you;les moines bouddhistes;my spirit flies to you les moines bouddhistes;https://www.youtube.com/watch?v=MjXoVs6PHHs
it's my party;lesley gore;it's my party lesley gore;https://www.youtube.com/watch?v=mIsnIt1p978
treat me like a lady;lesley gore;treat me like a lady lesley gore;https://www.youtube.com/watch?v=BW4ca5IVWKE
kombinuj dziewczyno;leszcze;kombinuj dziewczyno leszcze;https://www.youtube.com/watch?v=n_MtlQ1ZfJY
ta dziewczyna;leszcze;ta dziewczyna leszcze;https://www.youtube.com/watch?v=7Ka5ozi6RrM
tak sie bawi nasza klasa;leszcze;tak sie bawi nasza klasa leszcze;https://www.youtube.com/watch?v=w1GxZoTgVh4
w stepie szerokim;leszek herdegen;w stepie szerokim leszek herdegen;https://www.youtube.com/watch?v=87Ozl8gGg5Q
lessons in love;level 42;lessons in love level 42;https://www.youtube.com/watch?v=9x1RcVrGjGM
czyste szalenstwo;liber i inoros;czyste szalenstwo liber i inoros;https://www.youtube.com/watch?v=NdBYBhy1kHM
czarne chmury;liber i mateusz gredzinski;czarne chmury liber i mateusz gredzinski;https://www.youtube.com/watch?v=-oSr5TsAg_0
winny;liber i mateusz mijal;winny liber i mateusz mijal;https://www.youtube.com/watch?v=Ya2V7SuSCWY
7 rzeczy;liber i mateusz ziolko;7 rzeczy liber i mateusz ziolko;https://www.youtube.com/watch?v=VxTqSETB1TM
a teraz ty;liber i natalia szroeder;a teraz ty liber i natalia szroeder;https://www.youtube.com/watch?v=kOaBxuwH85A
nie patrze w dol;liber i natalia szroeder;nie patrze w dol liber i natalia szroeder;https://www.youtube.com/watch?v=1AcG1apjUTI
wszystkiego na raz;liber i natalia szroeder;wszystkiego na raz liber i natalia szroeder;https://www.youtube.com/watch?v=pC-6yJCl1Z8
co z nami bedzie;liber i sylwia grzeszczak;co z nami bedzie liber i sylwia grzeszczak;https://www.youtube.com/watch?v=fgpRTeKGl20
katiusza;lidia ruslanowa;katiusza lidia ruslanowa;https://www.youtube.com/watch?v=IlIQspvg0XE
high;lighthouse family;high lighthouse family;https://www.youtube.com/watch?v=taOL5HJdx1A
not fair;lily allen;not fair lily allen;https://www.youtube.com/watch?v=fUYaosyR4bE
never ending story;limahl;never ending story limahl;https://www.youtube.com/watch?v=2WN0T-Ee3q4
only for love;limahl;only for love limahl;https://www.youtube.com/watch?v=F6LxBYXlMvM
the neverending story ;limahl;the neverending story  limahl;https://www.youtube.com/watch?v=2WN0T-Ee3q4
too shy;limahl;too shy limahl;https://www.youtube.com/watch?v=rkpG4XApJ28
all night long;lionel richie;all night long lionel richie;https://www.youtube.com/watch?v=nqAvFx3NxUM
do it to me;lionel richie;do it to me lionel richie;https://www.youtube.com/watch?v=ZQHW7MQAV8g
hello;lionel richie;hello lionel richie;https://www.youtube.com/watch?v=QG5jnwg6FVs
lady;lionel richie;lady lionel richie;https://www.youtube.com/watch?v=Gz1jrlX27kE
say you say me;lionel richie;say you say me lionel richie;https://www.youtube.com/watch?v=we0mk_J0zyc
stuck on you;lionel richie;stuck on you lionel richie;https://www.youtube.com/watch?v=YhsTB4rq1XU
change;lisa stansfield;change lisa stansfield;https://www.youtube.com/watch?v=7Z5n1uPuw6E
all around the world;lisa stansfield & barry white;all around the world lisa stansfield & barry white;https://www.youtube.com/watch?v=JVuuatjHGnY
the loco-motion;little eva;the loco-motion little eva;https://www.youtube.com/watch?v=eKpVQm41f8Y
baby face;little richard;baby face little richard;https://www.youtube.com/watch?v=mWPnnY_BrMQ
good golly miss molly;little richard;good golly miss molly little richard;https://www.youtube.com/watch?v=lQ6akiGRcL8
hound dog;little richard;hound dog little richard;https://www.youtube.com/watch?v=xbHC54c4AR4
jambalaya;little richard;jambalaya little richard;https://www.youtube.com/watch?v=NXtL0HZO0Pw
little richard;little richard;little richard little richard;https://www.youtube.com/watch?v=ZSx91WBQLpg
lucille;little richard;lucille little richard;https://www.youtube.com/watch?v=K4fNqoHzeO4
tutti frutti;little richard;tutti frutti little richard;https://www.youtube.com/watch?v=C_C9q4tuwXI
cabaret;liza minnelli;cabaret liza minnelli;https://www.youtube.com/watch?v=moOamKxW844
maby this time;liza minnelli;maby this time liza minnelli;https://www.youtube.com/watch?v=yMpSQV1-bsA
maybe this time;liza minnelli;maybe this time liza minnelli;https://www.youtube.com/watch?v=yMpSQV1-bsA
mein herr;liza minnelli;mein herr liza minnelli;https://www.youtube.com/watch?v=lxmz3RcNNBE
new york new york;liza minnelli;new york new york liza minnelli;https://www.youtube.com/watch?v=VZ7gFiZbTDo
money money ;liza minnelli & joel grey;money money  liza minnelli & joel grey;https://www.youtube.com/watch?v=I8P80A8vy9I
moge wszystk;lo 27;moge wszystk lo 27;https://www.youtube.com/watch?v=Ol65Q2SzqWw
i'd love you to want me;lobo;i'd love you to want me lobo;https://www.youtube.com/watch?v=tqp_wbYLsYQ
ada to nie wypada;loda niemirzanka;ada to nie wypada loda niemirzanka;https://www.youtube.com/watch?v=2KRxuOwajEc
nie kochac w taka noc to grzech;loda niemirzanka i aleksander zabczynski;nie kochac w taka noc to grzech loda niemirzanka i aleksander zabczynski;https://www.youtube.com/watch?v=13QQmVMPYnk
atom milosci;loka;atom milosci loka;https://www.youtube.com/watch?v=mfSJA-5SOVI
prawdziwe powietrze;loka;prawdziwe powietrze loka;https://www.youtube.com/watch?v=EztDIotz7Nc
widzialem ciebie;loka;widzialem ciebie loka;https://www.youtube.com/watch?v=oojSiliHCi0
diamentowa kula ;lombard;diamentowa kula  lombard;https://www.youtube.com/watch?v=mCsr14AtDv0
gwiazdy rock and rolla;lombard;gwiazdy rock and rolla lombard;https://www.youtube.com/watch?v=3bXn_Kyz6Dg
mister of america;lombard;mister of america lombard;https://www.youtube.com/watch?v=vafLMt1c2oY
przezyj to sam;lombard;przezyj to sam lombard;https://www.youtube.com/watch?v=ZeE3wjUbiaA
stan gotowosci;lombard;stan gotowosci lombard;https://www.youtube.com/watch?v=cMhLQd7Sv3A
szklana pogoda;lombard;szklana pogoda lombard;https://www.youtube.com/watch?v=SCrR7od_fck
i've been thinking about you;londonbeat;i've been thinking about you londonbeat;https://www.youtube.com/watch?v=dGw3w_njQ4g
where are you;londonbeat;where are you londonbeat;https://www.youtube.com/watch?v=Mna1gVIRClk
you bring on the sun;londonbeat;you bring on the sun londonbeat;https://www.youtube.com/watch?v=hQIqK8PFNSg
bailando;loona;bailando loona;https://www.youtube.com/watch?v=VtkFykbcoa4
hijo de la luna;loona;hijo de la luna loona;https://www.youtube.com/watch?v=uwosbctPjoQ
ogrod cichych marzen;lora szafran;ogrod cichych marzen lora szafran;https://www.youtube.com/watch?v=Eb7A8W1g63E
tancz mnie po milosci kres;lora szafran;tancz mnie po milosci kres lora szafran;https://www.youtube.com/watch?v=A4K27iuCEOk
royals;lorde;royals lorde;https://www.youtube.com/watch?v=nlcIKh6sBtc
tango to evora;loreena mckennitt;tango to evora loreena mckennitt;https://www.youtube.com/watch?v=AIR5XPWK3Vk
rayo de sol;los acosta;rayo de sol los acosta;https://www.youtube.com/watch?v=ju5ePDJtmUs
macarena;los del rio;macarena los del rio;https://www.youtube.com/watch?v=zWaymcVmJ-A
un rayo de sol;los diablos;un rayo de sol los diablos;https://www.youtube.com/watch?v=o8JfMVLct9g
un rayo del sol ;los diablos;un rayo del sol  los diablos;https://www.youtube.com/watch?v=o8JfMVLct9g
maria elena;los indios tabajaras;maria elena los indios tabajaras;https://www.youtube.com/watch?v=_rQheOglFos
la bamba;los lobos;la bamba los lobos;https://www.youtube.com/watch?v=nLAWPrCUQQ0
boyfriend;lou bega;boyfriend lou bega;https://www.youtube.com/watch?v=ydPkyqs5y_w
i got a girl;lou bega;i got a girl lou bega;https://www.youtube.com/watch?v=A5WSqWJ4obg
mambo no. 5 ;lou bega;mambo no. 5  lou bega;https://www.youtube.com/watch?v=EK_LN3XEcnw
sweet like cola;lou bega;sweet like cola lou bega;https://www.youtube.com/watch?v=2iC8CRKxvmQ
che la luna mezzo mare;lou monte;che la luna mezzo mare lou monte;https://www.youtube.com/watch?v=n9FMvfvkBro
c'est si bon;louis armstrong;c'est si bon louis armstrong;https://www.youtube.com/watch?v=OFCS7kZwxug
hello dolly;louis armstrong;hello dolly louis armstrong;https://www.youtube.com/watch?v=l7N2wssse14
ramona;louis armstrong;ramona louis armstrong;https://www.youtube.com/watch?v=iArN5bW_Ntc
sweet georgia brown;louis armstrong;sweet georgia brown louis armstrong;https://www.youtube.com/watch?v=JkxrCttCcHg
what a wonderful world;louis armstrong;what a wonderful world louis armstrong;https://www.youtube.com/watch?v=A3yCcXgbKrE
when the saints go marching in;louis armstrong;when the saints go marching in louis armstrong;https://www.youtube.com/watch?v=wyLjbMBpGDA
buona sera signorina;louis prima;buona sera signorina louis prima;https://www.youtube.com/watch?v=7qr91dJvbqs
sing sing sing;louis prima;sing sing sing louis prima;https://www.youtube.com/watch?v=TOPSETBUgvQ
serce;lubow orlowa;serce lubow orlowa;https://www.youtube.com/watch?v=AyaQjhxoeH4
seven years;lucas graham;seven years lucas graham;https://www.youtube.com/watch?v=LHCob76kigA
o sole mio;luciano pavarotti;o sole mio luciano pavarotti;https://www.youtube.com/watch?v=eQSNVBLTXYY
little richard;lucille;little richard lucille;https://www.youtube.com/watch?v=u0Ujb6lJ_mM
caruso;lucio dalla;caruso lucio dalla;https://www.youtube.com/watch?v=JqtSuL3H2xs
mlodym byc;lucyna messal;mlodym byc lucyna messal;https://www.youtube.com/watch?v=wwCRIkecCFQ
alabama;ludmila jakubczak;alabama ludmila jakubczak;https://www.youtube.com/watch?v=-2bcHVffVyI
do widzenia teddy;ludmila jakubczak;do widzenia teddy ludmila jakubczak;https://www.youtube.com/watch?v=U5olkS8yPsY
gdy mi ciebie zabraknie;ludmila jakubczak;gdy mi ciebie zabraknie ludmila jakubczak;https://www.youtube.com/watch?v=d4dGw6Puvi4
szeptem;ludmila jakubczak;szeptem ludmila jakubczak;https://www.youtube.com/watch?v=66mUovnm_UM
lata dwudzieste lata trzydzieste;ludmila warzecha;lata dwudzieste lata trzydzieste ludmila warzecha;https://www.youtube.com/watch?v=6ARKsZfxnNo
cala przyjemnosc po mojej stronie;ludwik sempolinski;cala przyjemnosc po mojej stronie ludwik sempolinski;https://www.youtube.com/watch?v=4r2TPQX2CQA
tomasz skad ty to masz?;ludwik sempolinski;tomasz skad ty to masz? ludwik sempolinski;https://www.youtube.com/watch?v=D8Livfh5QVA
wasik ach ten wasik;ludwik sempolinski;wasik ach ten wasik ludwik sempolinski;https://www.youtube.com/watch?v=zTenLlVcXuQ
zrob to tak;ludwik sempolinski;zrob to tak ludwik sempolinski;https://www.youtube.com/watch?v=YiCVDP4WCZk
despacito;luis fonsi & daddy yankee;despacito luis fonsi & daddy yankee;https://www.youtube.com/watch?v=kJQP7kiw5Fk
endless love;luther vandross & mariah carey;endless love luther vandross & mariah carey;https://www.youtube.com/watch?v=nScV1qu-MZQ
ain't that just the way;lutricia mcneal;ain't that just the way lutricia mcneal;https://www.youtube.com/watch?v=IUP8Q7KUnZc
hold that moment;lutricia mcneal;hold that moment lutricia mcneal;https://www.youtube.com/watch?v=69R7y3P8Aew
perfect love;lutricia mcneal;perfect love lutricia mcneal;https://www.youtube.com/watch?v=cN05ocvRgck
stranded;lutricia mcneal;stranded lutricia mcneal;https://www.youtube.com/watch?v=DHkBUwLNiGk
i follow rivers ;lykke li;i follow rivers  lykke li;https://www.youtube.com/watch?v=K3JGxj2rvAs
dookola noc sie stala;lucja prus;dookola noc sie stala lucja prus;https://www.youtube.com/watch?v=P6tnKV1SkXg
nic dwa razy sie nie zdarza;lucja prus;nic dwa razy sie nie zdarza lucja prus;https://www.youtube.com/watch?v=08afxj7FiHA
nie mam woli do zamescia;lucja prus;nie mam woli do zamescia lucja prus;https://www.youtube.com/watch?v=B7yQktYVjzM
umowmy sie na stare lata;lucja prus;umowmy sie na stare lata lucja prus;https://www.youtube.com/watch?v=KoSWiVCwMeE
w zoltych plomieniach lisci;lucja prus i skaldowie;w zoltych plomieniach lisci lucja prus i skaldowie;https://www.youtube.com/watch?v=QgsnSFFgPS8
ja tu zostaje;lukasz zagrobelny;ja tu zostaje lukasz zagrobelny;https://www.youtube.com/watch?v=znjhUOjzzcM
nie zapytam cie;lukasz zagrobelny;nie zapytam cie lukasz zagrobelny;https://www.youtube.com/watch?v=LGxlRqMmzCU
nieprawda;lukasz zagrobelny;nieprawda lukasz zagrobelny;https://www.youtube.com/watch?v=vVCfN9nC4mE
u mnie maj;lukasz zagrobelny;u mnie maj lukasz zagrobelny;https://www.youtube.com/watch?v=TCpEmBjk_Cc
zycie na czekanie;lukasz zagrobelny;zycie na czekanie lukasz zagrobelny;https://www.youtube.com/watch?v=tFQ2z-Ld_Tw
gdybys byl;lzy;gdybys byl lzy;https://www.youtube.com/watch?v=ZOCLds9cuNE
oczy szeroko zamkniete;lzy;oczy szeroko zamkniete lzy;https://www.youtube.com/watch?v=IO1evhvjJZs
moving on up;m people;moving on up m people;https://www.youtube.com/watch?v=zkHOVJINRD8
bez ciebie umieram;maanam;bez ciebie umieram maanam;https://www.youtube.com/watch?v=OkHH-SPRJIE
blues kory;maanam;blues kory maanam;https://www.youtube.com/watch?v=1AyL2BpepEE
boskie buenos;maanam;boskie buenos maanam;https://www.youtube.com/watch?v=rTwMEJz3QNo
cykady na cykladach;maanam;cykady na cykladach maanam;https://www.youtube.com/watch?v=mh8ZqQS1EPM
klucz;maanam;klucz maanam;
kocham cie kochanie moje;maanam;kocham cie kochanie moje maanam;https://www.youtube.com/watch?v=nIncb6Gy2js
krakowski spleen;maanam;krakowski spleen maanam;https://www.youtube.com/watch?v=BaVVaS2n6MY
lipstick on the glass;maanam;lipstick on the glass maanam;https://www.youtube.com/watch?v=H6gBtyWXbSg
